,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square
391,142370.0,87.8,5.0,30.167826,59.830572,18.29,38.0,248999.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
392,323000.0,88.1,10.0,30.432721,59.883137,12.09,24.0,183510.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
393,299726.0,88.35,1.0,30.35128,59.967502,3.16,57.0,126580.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
394,417662.0,88.5,12.0,30.326262,59.985057,2.56,86.0,176350.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
395,343116.0,88.6,13.0,30.264044,59.949474,7.06,38.0,157038.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
396,150000.0,89.0,1.0,30.418779,59.87924,10.65,21.0,123760.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
397,280787.0,89.0,7.0,30.437913,59.867692,12.89,19.0,264659.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
398,168540.0,89.0,12.0,30.49413,59.896973,18.69,27.0,157038.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
399,287064.0,89.0,16.0,30.258906,60.070796,10.0,12.0,170038.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
400,295332.0,89.0,23.0,30.443869,59.900128,13.12,22.0,173820.8,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
401,294321.0,89.1,23.0,30.443869,59.900128,13.12,22.0,168008.8,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
402,218610.0,89.2,8.0,30.287922,60.019972,6.06,68.0,264659.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
403,166667.0,89.4,5.0,30.325543,59.926372,0.5,26.0,248999.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
404,155618.0,89.9,1.0,30.21664,59.958814,12.35,82.0,131580.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
405,443334.0,90.0,4.0,30.325821,59.925723,0.53,27.0,190599.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
406,322223.0,90.0,5.0,30.363694,59.930872,4.06,38.0,224599.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
407,214003.0,90.0,15.0,30.255618,60.06975,10.24,10.0,167350.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
408,343300.0,90.09,9.0,30.404316,59.938175,8.57,17.0,231659.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
409,346500.0,90.17,9.0,30.307568,59.985804,3.36,61.0,165460.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
410,310422.0,90.2,20.0,30.22804,60.03327,11.93,76.0,265588.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
411,211000.0,90.2,25.0,30.479038,60.008378,17.4,32.0,166220.8,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
412,255292.0,90.3,18.0,30.303382,59.997644,4.11,61.0,255800.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
413,300111.0,90.37,25.0,30.300489,59.999093,4.37,77.0,166220.8,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
414,315000.0,90.7,1.0,30.320899,59.902298,1.84,51.0,169100.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
415,214003.0,90.8,15.0,30.255618,60.06975,10.24,10.0,174350.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
417,132531.0,91.3,1.0,30.373172,59.935232,5.1,54.0,169100.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
418,250000.0,91.6,25.0,30.207702,60.004708,13.66,106.0,164599.8,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
419,350191.0,91.75,18.0,30.194542,59.942894,14.76,20.0,255800.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
420,450000.0,91.8,11.0,30.338083,59.880582,3.1,19.0,200610.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
421,179348.0,92.0,1.0,30.387931,59.946626,6.77,24.0,169100.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
422,400000.0,92.1,11.0,30.338083,59.880582,3.1,19.0,200610.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
423,340000.0,92.88,11.0,30.378714,60.018349,7.26,41.0,177000.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
424,268241.0,93.2,15.0,30.252896,59.955939,8.33,52.0,138800.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
425,336910.0,93.2,19.0,30.313398,59.887178,2.9,91.0,256800.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
427,310000.0,93.5,25.0,30.220988,59.861973,12.29,35.0,217883.8,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
428,362704.0,93.52,18.0,30.194542,59.942894,14.76,20.0,141400.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
429,321128.0,94.0,9.0,30.288622,59.903823,4.58,42.0,211484.8,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
430,339533.0,94.1,19.0,30.184849,59.942245,15.84,15.0,149200.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
431,339533.0,94.1,19.0,30.184849,59.942245,15.84,15.0,149200.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
432,305000.0,94.2,25.0,30.220961,59.862483,12.29,34.0,207884.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
433,264582.0,94.3,25.0,30.196985,59.994346,14.72,71.0,207884.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
434,190000.0,94.4,25.0,30.479038,60.008378,17.4,32.0,207884.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
435,319226.0,94.56,9.0,30.288622,59.903823,4.58,42.0,211484.8,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
436,205074.0,94.6,1.0,30.342261,59.925435,1.75,76.0,227460.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
437,180000.0,95.2,14.0,30.485928,60.005072,18.11,30.0,136800.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
438,210000.0,95.55,5.0,30.387724,60.026051,8.34,50.0,208922.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
439,193515.0,95.6,10.0,30.49413,59.896973,18.69,27.0,198284.8,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
440,370000.0,95.8,7.0,30.304226,59.910343,2.86,65.0,161122.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
441,367200.0,95.82,7.0,30.268635,59.943372,6.53,33.0,161122.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
442,228125.0,96.0,1.0,30.307235,59.928952,2.25,39.0,198070.6,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
443,350000.0,96.43,5.0,30.387724,60.026051,8.34,50.0,150402.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
444,198000.0,96.57,5.0,30.308322,59.754121,9.41,12.0,150402.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
445,178904.0,96.7,4.0,30.158834,59.998405,18.92,17.0,224480.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
446,246588.0,96.93,24.0,30.303382,59.997644,4.11,61.0,201884.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
447,290104.0,96.93,25.0,30.300489,59.999093,4.37,77.0,201164.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
448,292422.0,97.0,13.0,30.379523,60.017063,7.29,42.0,165400.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
449,123702.0,97.0,26.0,30.428607,60.033185,12.54,52.0,201164.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
450,307930.0,97.1,1.0,30.405727,60.032919,10.25,65.0,198070.6,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
451,321051.0,97.3,9.0,30.31082,59.904775,2.4,54.0,194284.8,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
452,350000.0,97.36,5.0,30.387724,60.026051,8.34,50.0,142480.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
453,170000.0,97.5,2.0,30.082621,59.724677,28.29,47.0,186990.6,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
454,170000.0,97.5,2.0,30.084013,59.724491,28.15,48.0,186990.6,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
455,340000.0,97.62,13.0,30.378714,60.018349,7.26,41.0,165400.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
456,366327.0,98.0,8.0,30.317844,59.907338,1.78,53.0,174000.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
457,204082.0,98.0,12.0,30.286565,60.020381,6.18,58.0,202000.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
458,206619.0,98.0,13.0,30.194928,60.03625,15.38,5.0,192400.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
459,198006.0,98.0,24.0,30.511773,59.866274,20.93,17.0,201164.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
461,186545.0,98.1,23.0,30.447813,59.95593,13.45,16.0,215884.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
462,74263.0,98.3,1.0,30.359356,59.957796,3.76,41.0,126710.6,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
463,301830.0,98.4,5.0,30.318985,59.906504,1.74,47.0,182288.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
464,420102.0,98.6,25.0,30.304289,60.000857,4.17,65.0,188504.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
465,346500.0,98.76,9.0,30.307568,59.985804,3.36,61.0,155600.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
466,353536.0,99.0,9.0,30.370782,59.925096,4.87,58.0,155600.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
467,76613.0,99.2,1.0,30.29138,59.918296,4.08,59.0,134800.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
468,275000.0,99.2,4.0,30.359356,59.921692,3.64,44.0,234888.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
469,450000.0,99.27,11.0,30.338083,59.880582,3.1,19.0,176600.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
470,296483.0,99.5,23.0,30.196428,59.938491,14.55,17.0,179540.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
471,450000.0,99.8,11.0,30.338083,59.880582,3.1,19.0,177140.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
472,300101.0,99.92,25.0,30.300489,59.999093,4.37,77.0,188504.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
473,255086.0,99.92,25.0,30.303382,59.997644,4.11,61.0,188504.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
474,179900.0,100.0,8.0,30.304379,59.919107,2.68,69.0,131600.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
475,380000.0,100.0,9.0,30.370782,59.925096,4.87,58.0,150400.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
476,285000.0,100.0,19.0,30.196428,59.938491,14.55,17.0,171480.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
477,175000.0,101.2,14.0,30.479038,60.008378,17.4,32.0,169020.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
478,350000.0,101.3,5.0,30.387724,60.026051,8.34,50.0,209000.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
479,380000.0,101.33,10.0,30.341533,59.966953,2.29,56.0,121040.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
480,205000.0,101.49,5.0,30.387724,60.026051,8.34,50.0,209000.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
481,350000.0,101.58,5.0,30.387724,60.026051,8.34,50.0,209000.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
483,330099.0,101.72,17.0,30.303211,59.999147,4.18,65.0,173680.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
484,146079.0,102.0,5.0,30.288658,59.912589,4.44,52.0,194800.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
485,298528.0,102.0,10.0,30.288416,59.911538,4.48,47.0,121580.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
486,285839.0,102.0,26.0,30.451577,59.899004,13.98,34.0,164820.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
487,107213.0,102.6,1.0,30.38167,59.933947,6.05,63.0,172881.4,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
488,380000.0,102.71,9.0,30.264862,59.93502,6.94,31.0,178740.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
489,197554.0,103.0,13.0,30.194928,60.03625,15.38,5.0,168980.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
490,204973.0,103.0,13.0,30.19579,60.036443,15.29,6.0,168980.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
491,390000.0,103.11,9.0,30.264862,59.93502,6.94,31.0,205624.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
492,450000.0,103.4,11.0,30.338083,59.880582,3.1,19.0,181664.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
493,110481.0,104.0,1.0,30.326441,60.002279,3.44,77.0,118281.4,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
494,423077.0,104.0,8.0,30.297219,59.960309,3.57,44.0,258967.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
495,315608.0,104.0,11.0,30.306768,59.903927,2.78,54.0,181664.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
496,171429.0,105.0,4.0,30.345854,59.917209,2.28,74.0,181143.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
497,260477.0,105.0,8.0,30.248189,59.936846,8.79,49.0,209244.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
498,113961.0,105.3,1.0,30.474753,59.873202,16.79,26.0,110281.4,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
499,202000.0,105.4,25.0,30.479038,60.008378,17.4,32.0,221040.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
500,365000.0,105.58,10.0,30.308116,59.986506,3.35,61.0,195524.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
501,225353.0,106.5,6.0,30.255079,59.947306,8.05,57.0,234384.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
502,369015.0,106.5,19.0,30.184849,59.942245,15.84,15.0,251571.2,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
503,201500.0,106.7,13.0,30.336574,59.988469,2.95,66.0,183900.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
504,242000.0,107.5,12.0,30.229064,59.936206,10.92,55.0,215900.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
505,277882.0,107.6,1.0,30.349869,59.928541,2.54,27.0,190300.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
506,197798.0,108.0,13.0,30.194928,60.03625,15.38,5.0,178100.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
507,319445.0,108.0,13.0,30.207711,60.030578,13.97,26.0,178100.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
508,295274.0,108.0,26.0,30.451577,59.899004,13.98,34.0,216840.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
509,351348.0,108.1,1.0,30.310128,59.987226,3.25,84.0,190300.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
510,280514.0,109.0,13.0,30.379523,60.017063,7.29,42.0,169500.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
511,225625.0,109.33,1.0,30.288496,59.911759,4.47,46.0,189100.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
512,211800.0,109.8,12.0,30.344551,59.902406,2.59,65.0,219300.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
513,124546.0,110.0,1.0,30.297974,59.9308,3.27,53.0,176900.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
514,227273.0,110.0,2.0,30.364781,60.052272,7.5,41.0,215900.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
515,170910.0,110.0,4.0,30.323504,59.917042,1.03,38.0,255400.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
516,263637.0,110.0,5.0,30.244138,59.932392,9.25,44.0,268300.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
517,393637.0,110.0,5.0,30.380062,59.941493,5.88,40.0,268300.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
519,122728.0,110.0,9.0,30.41153,59.951132,9.41,25.0,217640.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
520,244091.0,110.0,13.0,30.2026,60.030245,14.5,18.0,204100.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
521,271740.0,110.4,23.0,30.447022,59.899211,13.48,26.0,228300.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
522,325204.0,110.7,25.0,30.269021,60.057774,8.79,34.0,228300.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
523,380000.0,110.96,10.0,30.341533,59.966953,2.29,56.0,253160.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
524,338375.0,111.0,1.0,30.245728,59.962048,9.16,41.0,179300.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
525,88289.0,111.0,1.0,30.369471,59.932184,4.7,54.0,179300.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
526,355103.0,111.0,19.0,30.311502,59.899081,2.55,64.0,243100.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
527,141442.0,111.0,20.0,30.317961,60.069598,6.93,47.0,240000.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
528,166367.0,111.2,1.0,30.213846,59.95229,12.64,69.0,179300.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
529,280000.0,111.32,10.0,30.341533,59.966953,2.29,56.0,232040.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
530,223614.0,111.8,6.0,30.289224,59.922914,4.28,71.0,212198.4,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
531,222720.0,111.8,6.0,30.289224,59.922914,4.28,71.0,212198.4,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
532,178732.0,111.9,1.0,30.281606,59.918733,5.14,30.0,179300.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
533,178723.0,111.9,1.0,30.314817,59.904189,2.11,72.0,179300.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
534,312500.0,112.0,4.0,30.314161,59.935858,1.46,29.0,301398.4,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
535,312500.0,112.0,5.0,30.314161,59.935858,1.46,29.0,263198.4,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
536,312500.0,112.0,5.0,30.314161,59.935858,1.46,29.0,263198.4,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
537,303572.0,112.0,26.0,30.236304,60.034915,11.13,83.0,180800.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
538,235976.0,112.3,25.0,30.312185,60.056481,6.37,77.0,180800.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
539,290090.0,112.32,17.0,30.303211,59.999147,4.18,65.0,256440.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
540,322432.0,112.4,1.0,30.245728,59.962048,9.16,41.0,200388.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
541,257549.0,112.6,14.0,30.317521,59.855398,4.23,68.0,159440.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
542,286597.0,113.4,2.0,30.382685,59.851973,7.64,75.0,175904.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
543,270000.0,113.45,11.0,30.378714,60.018349,7.26,41.0,221040.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
544,393058.0,113.8,10.0,30.15012,59.861038,19.94,73.0,203232.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
545,197483.0,114.0,13.0,30.194928,60.03625,15.38,5.0,213710.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
546,192814.0,114.1,5.0,30.330591,59.923054,0.74,33.0,232675.2,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
547,234783.0,115.0,14.0,30.41594,59.847268,11.01,41.0,231710.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
548,303215.0,115.1,5.0,30.300956,59.956674,3.12,35.0,167754.8,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
549,164788.0,115.3,1.0,30.358852,59.943012,3.53,34.0,182744.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
550,294500.0,115.3,4.0,30.109642,59.83328,24.52,31.0,142338.8,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
551,239200.0,115.5,14.0,30.407442,59.984908,9.32,13.0,231710.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
552,189000.0,115.63,5.0,30.308322,59.754121,9.41,12.0,172878.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
553,309483.0,116.0,5.0,30.300956,59.956674,3.12,35.0,172878.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
554,310880.0,116.09,19.0,30.184849,59.942245,15.84,15.0,202820.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
556,283019.0,116.6,13.0,30.450526,60.002697,14.23,9.0,244410.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
557,275941.0,117.0,13.0,30.379523,60.017063,7.29,42.0,316150.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
558,258823.0,117.0,16.0,30.258906,60.070796,10.0,12.0,262690.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
559,199500.0,118.7,4.0,30.109642,59.83328,24.52,31.0,322742.4,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
560,239094.0,119.2,6.0,30.346096,59.918652,2.27,73.0,467100.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
561,420084.0,119.5,25.0,30.295422,59.999638,4.78,69.0,210000.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
562,330084.0,119.59,17.0,30.303211,59.999147,4.18,65.0,215244.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
563,112500.0,120.0,1.0,30.297974,59.9308,3.27,53.0,121606.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
564,182197.0,120.2,1.0,30.359104,59.921295,3.62,44.0,121606.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
565,275500.0,120.4,4.0,30.109642,59.83328,24.52,31.0,264600.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
566,372943.0,121.0,3.0,30.245566,59.963066,9.18,40.0,160808.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
567,250000.0,121.0,4.0,30.430933,59.925335,11.54,27.0,264600.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
568,231603.0,121.0,13.0,30.19579,60.036443,15.29,6.0,232869.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
569,256199.0,121.0,24.0,30.316856,59.855877,4.22,71.0,210000.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
570,347108.0,121.0,26.0,30.340985,60.075016,7.44,51.0,200000.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
571,343200.0,121.5,9.0,30.307568,59.985804,3.36,61.0,401240.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
572,198100.0,121.7,13.0,30.341578,59.902217,2.35,66.0,232869.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
573,40164.0,122.0,5.0,30.342692,59.91692,1.97,79.0,486676.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
574,134365.0,122.8,1.0,30.325211,59.91784,0.93,38.0,96146.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
575,300081.0,123.69,25.0,30.300489,59.999093,4.37,77.0,198000.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
576,209800.0,123.7,13.0,30.341578,59.902217,2.35,66.0,206897.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
577,95000.0,123.9,1.0,30.41153,59.951132,9.41,25.0,141914.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
578,135000.0,124.0,27.0,30.317961,60.069598,6.93,47.0,200000.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
579,368623.0,124.7,1.0,30.310128,59.987226,3.25,84.0,118108.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
580,144231.0,124.8,1.0,30.278363,59.915269,5.53,28.0,118108.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
581,295000.0,125.4,18.0,30.443869,59.900128,13.12,22.0,230624.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
582,310208.0,125.4,23.0,30.402879,60.006246,9.27,36.0,210068.0,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
583,161000.0,126.0,12.0,30.485775,60.003943,18.08,29.0,187892.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
584,296678.0,126.4,1.0,30.289467,59.95584,4.32,74.0,118108.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
585,196019.0,126.4,2.0,30.362284,60.043413,6.94,52.0,118108.0,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
586,450000.0,126.47,11.0,30.338083,59.880582,3.1,19.0,187892.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
