,url,seller_url,title,squares,full_price,price_per_square,floor,free,city,district,okrug,street,house_number,description,sub_near,highway_near
0,https://spb.cian.ru/sale/commercial/300074346/,https://www.cian.ru/company/83887466/,"Свободное назначение, 131,63 м²","131,63 м²",41 000 000 ₽,311 480 ₽,1 из 2,Свободно,Санкт-Петербург,р-н Красносельский,мкр. Красное Село,ул. Восстановления,19,"Продажа помещения свободного назначения в бизнес-центре ""Smart Восстановления"".
Концепция подразумевает коммерческий центр с разными  Резидентами. В его стенах расположатся организации спортивной и медицинской направленности.
Smart Sport8 Medical Center предоставит разные варианты для проведения досуга для своих посетителей: занятие в спортивных клубах, посещение магазинов, лечение и консультации в специализированных клиниках, прохождение релаксирующих процедур и многое другое.
Объект находится на пересечении основных магистралей с высоким потоком автотранспорта вблизи с гипермаркетом ""Лента"".
Управляющая компания, созданная застройщиком, примет на себя решение повседневных вопросов Вашего бизнеса. Можно открыть собственный бизнес или сдавать помещение в аренду. В поиске арендатора компания содействует.
Звоните, ответим на все интересующиеся вопросы.","[['Проспект Ветеранов', '25 мин.'], ['Ленинский проспект', '25 мин.'], ['Автово', '25 мин.']]","[['Нарва шоссе', '25 км от КАД'], ['Киевское шоссе', '25 км от КАД']]"
1,https://spb.cian.ru/sale/commercial/300073799/,https://spb.cian.ru/company/12477946,"Свободное назначение, 145,1 м²","145,1 м²",37 000 000 ₽,254 997 ₽,1 из 5,Свободно,Санкт-Петербург,р-н Адмиралтейский,Измайловское,7-я Красноармейская ул.,5,"ID 6024 - пoжaлуйстa, coобщитe этот номер мeнеджeру.

Нежилое помещение оборудованное под ресторан. 

Общая площадь составляет 145,1 м², расположено на первом этаже 6-этажного здания. Высота потолков 2,95 м, витринные окна на фасаде, газовое отопление. 

Помещение имеет два отдельных входа - с фасада и со двора, что обеспечивает легкий доступ для посетителей. Близкое расположение к метро ""Технологический институт"" (630 метров) и филиалу Санкт-Петербургского экономического университета.

Помимо этого, над помещением расположен отель ""Ротас"" на 32 номера с отдельным входом. Внутри помещения - вытяжка, кондиционирование, электричество 25 кВт, два гостевых санузла и один для персонала.

Отделка: пластиковые окна, ролл ставни, гранитные подоконники, керамогранит на полу. 

Имеется охранная и пожарная сигнализация.",[],[]
2,https://spb.cian.ru/sale/commercial/300073275/,https://spb.cian.ru/company/59606612,"Свободное назначение, 73,5 м²","73,5 м²",26 000 000 ₽,353 742 ₽,1 из 7,Свободно,Санкт-Петербург,р-н Адмиралтейский,Измайловское,11-я Красноармейская ул.,11,"Код объекта: 1053925.
Продается помещение площадью 73,5м2 клубном дома ""Болконский"".
Расположен в Адмиралтейском районе Санкт-Петербурга. Это историческая часть города с плотной застройкой.
Рядом ж/д вокзал ""Балтийский""
В районе развита дорожно-транспортная сеть. В километре две набережные - Обводного канала и реки Фонтанки.

Особые характеристики:

- Площадь: 73,5 м2
- Этаж 1 из 7
- Высота потолков: 3,05 м
- Электрическая мощность: 12 кВт
- Городские коммуникации: электричество, ХВС, ГВС, отопление
- Приточно-вытяжная система
- Вентиляций помещения
- Помещение обеспечено системой противопожарной защиты
- Отдельный вход с улицы

Преимущества помещения:
- Витринное остекление 
- Первая линия
- Помещение имеет правильную свободную планировку
- Высокие потолки
- Привлекательная входная группа

Подойдет под любой вид деятельности.

Звоните для согласования показа!","[['Балтийская', '10 мин.'], ['Фрунзенская', '10 мин.'], ['Пушкинская', '10 мин.']]",[]
3,https://spb.cian.ru/sale/commercial/300070206/,,"Свободное назначение, 682 м²",682 м²,71 500 000 ₽,104 839 ₽,1 из 2,Свободно,Санкт-Петербург,р-н Красногвардейский,Пороховые,ул. Коммуны,9к1,"Новое здание Бизнес-Центра и профессиональный помывочный комплекс на 4 поста, оснащенные высокотехнологичным оборудованием, расположенные на большом благоустроенном земельном участке 1 813 м2. Год постройки  2018. 

Общая площадь 2-х этажного здания с цоколем 377 кв. М, высота этажей от 3,03 до 3,25 м. С 4-мя отдельными входами с улицы. 

Здание и автомоечный комплекс  собственность юридического лица, УСН. 

Земельный участок долгосрочная аренда на 49 лет у Кио Санкт-Петербурга, при желании возможен выкуп. 

Назначение: Нежилое, многофункциональное. 

В настоящее время здание используется под размещение офиса, кофейни, магазина и ремонтной зоны. 

Профессиональный помывочный комплекс общей площадью 251,2 кв. М. На 4 машины, оснащенный оборудованием позволяющим произвести мойку машины в короткий срок с великолепным качеством исполнения. Комплекс может быть демонтирован за счет Продавца. 

Оснащено: 

Электроснабжение  60 квт. 

Водоснабжение  городские сети. Водоотведение  локальное. 

Отопление  автономное. 

Бесплатная организованная парковка на 50 автомашин. 

О здании: 

Дизайн здания выполнен в стиле  промышленного дизайна. Огромные панорамные окна. Фасад здания отделан стеновыми панелями стального и красного цвета, материалы стен: кирпич, бетон. Часть здание сдано в аренду.

Здание оснащено современными инженерными коммуникациями, в том числе: системой кондиционирования, вентиляции и пожаротушения, В отделке здания использованы дорогие импортные материалы и оборудование. Установлена система видеонаблюдения по этажам, зоной ремонта машин и помывочными боксами. 

Техническое состояние комплекса  отличное. Состояние здания и объектов инфраструктуры  новое. 

О локации: 

Комплекс находится на первой линии улицы Коммуны, многотысячный автомобильный трафик, в непосредственной близости к густонаселенной части Красногвардейского района. 

Метро ""Ладожская"" 3,2 км (15 мин. Транспортом). 

Въезд на Зсд 2 км (4 мин.).

Все документы к сделке готовы. Желаемый вариант сделки  продажа долей участников общества, а также рассмотрим все ваши варианты продажи. 


Номер объекта: #1/552567/11672","[['Проспект Большевиков', '9 мин.']]",[]
4,https://spb.cian.ru/sale/commercial/300070173/,,"Торговая площадь, 70 м²",70 м²,2 000 000 ₽,28 572 ₽,1 из 1,Свободно,Санкт-Петербург,р-н Курортный,мкр. Солнечное,Приморское ш.,,"Продаеться готовый бизнес, находиться в Курортном районе п. Солнечное   Приморское ш. 373
(пересечение с улицой Вокзальной)
Прямая аренда от собственника. 
В стоимость входит  3 павельона,  40, 20  и 10 кв.м., оборудование, а таже остатки.
10 кв.м. разливное пиво, 20 кв.м. пекарня с тандыром и 40 кв.м. торговый магазин и шаверма.
Летний сезон каждый год приносит хорошую прибыль.
Полностью готовый к работе бизнес.
Очень популярное место для отдыха летом, оживленный трафик,от вокзала до пляжа.
Ласковый пляж находиться в шаговой доступености, остановка общественного транспорта.
Санатории, детские сады, большое количество постоянных жителей и гостей.
Не упустите жаркий сезон.
Возможна аренда, по договоренности.",[],"[['Приморское шоссе', '18 км от КАД'], ['ЗСД шоссе', '18 км от КАД']]"
5,https://spb.cian.ru/sale/commercial/300069782/,https://spb.cian.ru/company/74333292,"Торговая площадь, 33,9 м²","33,9 м²",6 441 000 ₽,190 000 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Пороховые,ул. Лагоды,5,"ВНИМАНИЕ! ЗАКРЫТАЯ ПРОДАЖА - ВСЕ ПОДРОБНОСТИ ПО ТЕЛЕФОНУ!
 Продажа коммерческого помещения с НДС от собственника без комиссии!
 Помещение подходит для торговли или свободного назначения
При необходимости предоставим арендатора
Свободная планировка
 Продажа коммерческого помещения в зоне высокой проходимости
ОКУПАЕМОСТЬ 8 ЛЕТ
Характеристики:
Мощность от 5 квт электроэнергии
Отопление
Центральное водоснабжение
Высота потолков 3 метра
Рядом остановки общественного транспорта
Хорошее решение для тех, кто ищет возможности сохранить и приумножить деньги, получить надежный доход рантье.
Поможем в одобрении коммерческой ипотеки
Варианты назначения помещений: офис, торговая площадь, склад, салон красоты, ателье одежды, бытовые услуги, магазины, спортзал, медицинский центр, общепит, шоурум, стоматологическая клиника, спа салон, бутик, бытовая техника, клиники, стрит ритейл, студии танцев, детские развивающие классы, учебный центр
 Для получения более подробной информации, презентации объекта, просьба обращаться по указанным в объявлении контактным данным.","[['Ладожская', '6 мин.'], ['Новочеркасская', '6 мин.'], ['Площадь Александра Невского', '6 мин.']]",[]
6,https://spb.cian.ru/sale/commercial/300069708/,,"Свободное назначение, 89,4 м²","89,4 м²",14 900 000 ₽,166 667 ₽,1 из 5,Свободно,Санкт-Петербург,р-н Центральный,№ 78,Гороховая ул.,48,"Пpeдлaгаетcя к продаже помещение свободного назначения в cамoм сepдцe Пeтеpбуpгa пo aдpесу ул Гороховaя д 48 в 5 минутах пeшком от м Сеннaя, Звeнигоpодская. Закрытый чистый двoр, есть паpковoчное мecто, чистая мaлонасeлeнная парадная. B помещении выпoлнeн нoвый дизайнepcкий pемoнт с заменой всех коммуникаций. Большая гардеробная, кухня, подогрев полов во всех помещениях, электричество 20 кВт по договору, железобетонные перекрытия. Заключены договора со всеми ресурсоснабжающими организациями, без перепланировок. Прямая продажа, один взрослый собственник, без обременений, подходит под ипотеку.","[['Сенная площадь', '6 мин.'], ['Спасская', '6 мин.'], ['Садовая', '6 мин.']]",[]
7,https://spb.cian.ru/sale/commercial/300069343/,,"Свободное назначение, 95,82 м²","95,82 м²",35 185 104 ₽,367 200 ₽,1 из 7,Свободно,Санкт-Петербург,р-н Василеостровский,Васильевский,12-я Васильевского острова линия,41к1,"В клубном доме AMO на Васильевском острове представлено помещение свободного назначения площадью 95,82 кв.м. на 1 этаже от инвестиционно-строительного холдинга AAG.

АMO  клубный дoм для эстетов, влюбленных в Васильeвский oстров.

Дом расположен в историческом центре Васильевского острова. В 10 минутах ходьбы  Университетская набережная, Румянцевский и Академический скверы. В 5 минутах на автомобиле  съезд на ЗСД, соединяющий район с пригородами и аэропортом Пулково.
В ближайшем окружении  лучшие лицеи и гимназии, факультеты Университета и Академия Художеств, Василеостровский рынок и музей современного искусства Эрарта.

Характеристики помещения:
 Срок сдачи 2024 год
 1 отдельный вход
 Высота потолков 3,25 м
 Панорамные окна до 3,5 м
 Мощность 18,21 кВт

В помещении можно эффективно разместить практически любой вид бизнеса  кафе, пекарню, продуктовую лавку, винотеку, гастробар, барбер шоп, салон красоты, медицинские услуги, образовательную студию и многое другое.

В АМО Extra-подход AAG раскрыт через тщательный выбор той самой 12 линии ВО - в самом центре событий, статусной, старинной, но камерной и уютной.","[['Василеостровская', '8 мин.'], ['Спортивная', '8 мин.'], ['Горный институт', '8 мин.']]",[]
8,https://spb.cian.ru/sale/commercial/300069330/,,"Свободное назначение, 227,36 м²","227,36 м²",81 167 520 ₽,357 000 ₽,1 из 7,Свободно,Санкт-Петербург,р-н Василеостровский,Васильевский,12-я Васильевского острова линия,41к1,"В клубном доме AMO на Васильевском острове представлено помещение свободного назначения площадью 227,36 кв.м. на 1 этаже от инвестиционно-строительного холдинга AAG.

АMO  клубный дoм для эстетов, влюбленных в Васильeвский oстров.

Дом расположен в историческом центре Васильевского острова. В 10 минутах ходьбы  Университетская набережная, Румянцевский и Академический скверы. В 5 минутах на автомобиле  съезд на ЗСД, соединяющий район с пригородами и аэропортом Пулково.
В ближайшем окружении  лучшие лицеи и гимназии, факультеты Университета и Академия Художеств, Василеостровский рынок и музей современного искусства Эрарта.

Характеристики помещения:
 Срок сдачи 2024 год
 2 отдельных входа
 Высота потолков 3,25 м
 Панорамные окна до 3,5 м
 Мощность 43,2 кВт

В помещении можно эффективно разместить практически любой вид бизнеса  кафе, пекарню, продуктовую лавку, винотеку, гастробар, барбер шоп, салон красоты, медицинские услуги, образовательную студию и многое другое.

В АМО Extra-подход AAG раскрыт через тщательный выбор той самой 12 линии ВО - в самом центре событий, статусной, старинной, но камерной и уютной.","[['Василеостровская', '8 мин.'], ['Спортивная', '8 мин.'], ['Горный институт', '8 мин.']]",[]
9,https://spb.cian.ru/sale/commercial/300069324/,,"Свободное назначение, 57,61 м²","57,61 м²",22 329 636 ₽,387 600 ₽,1 из 7,Свободно,Санкт-Петербург,р-н Василеостровский,Васильевский,12-я Васильевского острова линия,41к1,"В клубном доме AMO на Васильевском острове представлено помещение свободного назначения площадью 57,61 кв.м. на 1 этаже от инвестиционно-строительного холдинга AAG.

АMO  клубный дoм для эстетов, влюбленных в Васильeвский oстров.

Дом расположен в историческом центре Васильевского острова. В 10 минутах ходьбы  Университетская набережная, Румянцевский и Академический скверы. В 5 минутах на автомобиле  съезд на ЗСД, соединяющий район с пригородами и аэропортом Пулково.
В ближайшем окружении  лучшие лицеи и гимназии, факультеты Университета и Академия Художеств, Василеостровский рынок и музей современного искусства Эрарта.

Характеристики помещения:
 Срок сдачи 2024 год
 1 отдельный вход
 Высота потолков 3,25 м
 Панорамные окна до 3,5 м
 Мощность 10,95 кВт

В помещении можно эффективно разместить практически любой вид бизнеса  кафе, пекарню, продуктовую лавку, винотеку, гастробар, барбер шоп, салон красоты, медицинские услуги, образовательную студию и многое другое.

В АМО Extra-подход AAG раскрыт через тщательный выбор той самой 12 линии ВО - в самом центре событий, статусной, старинной, но камерной и уютной.","[['Василеостровская', '8 мин.'], ['Спортивная', '8 мин.'], ['Горный институт', '8 мин.']]",[]
10,https://spb.cian.ru/sale/commercial/300069321/,,"Свободное назначение, 63,92 м²","63,92 м²",24 775 392 ₽,387 600 ₽,1 из 7,Свободно,Санкт-Петербург,р-н Василеостровский,Васильевский,12-я Васильевского острова линия,41к1,"В клубном доме AMO на Васильевском острове представлено помещение свободного назначения площадью 63,92 кв.м. на 1 этаже от инвестиционно-строительного холдинга AAG.

АMO  клубный дoм для эстетов, влюбленных в Васильeвский oстров.

Дом расположен в историческом центре Васильевского острова. В 10 минутах ходьбы  Университетская набережная, Румянцевский и Академический скверы. В 5 минутах на автомобиле  съезд на ЗСД, соединяющий район с пригородами и аэропортом Пулково.
В ближайшем окружении  лучшие лицеи и гимназии, факультеты Университета и Академия Художеств, Василеостровский рынок и музей современного искусства Эрарта.

Характеристики помещения:
 Срок сдачи 2024 год
 1 отдельный вход
 Высота потолков 3,25 м
 Панорамные окна до 3,5 м
 Мощность 12,15 кВт

В помещении можно эффективно разместить практически любой вид бизнеса  кафе, пекарню, продуктовую лавку, винотеку, гастробар, барбер шоп, салон красоты, медицинские услуги, образовательную студию и многое другое.

В АМО Extra-подход AAG раскрыт через тщательный выбор той самой 12 линии ВО - в самом центре событий, статусной, старинной, но камерной и уютной.","[['Василеостровская', '8 мин.'], ['Спортивная', '8 мин.'], ['Горный институт', '8 мин.']]",[]
11,https://spb.cian.ru/sale/commercial/300069312/,,"Свободное назначение, 57,91 м²","57,91 м²",18 394 822 ₽,317 646 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 57,91 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG. 

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
 Срок сдачи 2024 год
 2 отдельных входа
 Высота потолков 3,41 м
 Панорамные окна 3,34 м
 Мощность 11,58 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
12,https://spb.cian.ru/sale/commercial/300069308/,,"Свободное назначение, 66,27 м²","66,27 м²",21 050 334 ₽,317 645 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 66,27 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG.

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
 Срок сдачи 2024 год
 1 отдельный вход
 Высота потолков 3,41 м
 Панорамные окна 3,34 м
 Мощность 13,25 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
13,https://spb.cian.ru/sale/commercial/300069304/,,"Свободное назначение, 58,88 м²","58,88 м²",18 702 938 ₽,317 646 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 58,88 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG.

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
        Срок сдачи 2024 год
        2 отдельных входа
        Высота потолков 3,41 м
        Панорамные окна 3,34 м
        Мощность 11,78 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
14,https://spb.cian.ru/sale/commercial/300069301/,,"Свободное назначение, 82,24 м²","82,24 м²",25 239 209 ₽,306 897 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 82,24 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG.

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
 Срок сдачи 2024 год
 1 отдельный вход
 Высота потолков до 3,56 м
 Панорамные окна до 3,5 м
 Мощность 16,45 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
15,https://spb.cian.ru/sale/commercial/300069292/,,"Свободное назначение, 90,09 м²","90,09 м²",30 927 807 ₽,343 300 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 90,09 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG.

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
 Срок сдачи 2024 год
 2 отдельных входа
 Высота потолков 3,56 м
 Панорамные окна 3,5 м
 Мощность 18,02 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
16,https://spb.cian.ru/sale/commercial/300069287/,,"Свободное назначение, 54,59 м²","54,59 м²",17 340 241 ₽,317 646 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 54,59 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG.

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
        Срок сдачи 2024 год
        1 отдельный вход
        Высота потолков 3,65 м
        Панорамные окна 3,5 м
        Мощность 10,92 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
17,https://spb.cian.ru/sale/commercial/300069282/,,"Свободное назначение, 69,77 м²","69,77 м²",23 226 154 ₽,332 897 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 69,77 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG.

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
        Срок сдачи 2024 год
        2 отдельных входа
        Высота потолков 3,65 м
        Панорамные окна 3,5 м
        Мощность 13,95 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
18,https://spb.cian.ru/sale/commercial/300069278/,,"Свободное назначение, 78,22 м²","78,22 м²",28 500 000 ₽,364 357 ₽,1 из 9,Свободно,Санкт-Петербург,р-н Красногвардейский,Малая Охта,Малоохтинский просп.,8,"Помещение свободного назначения площадью 78,22 кв.м. на 1 этаже в клубном доме kzent от инвестиционно-строительного холдинга AAG. 

АКZENТ  клубный дoм, где настроение cоздaют детали.

Дом находится на второй линии набережной Невы. Прогулка до Невского и Смольного собора займет 30 минут. Ближайшее метро Новочеркасская в 15 минутах пешком. На автомобиле до центра города по одному из двух мостов через Неву  всего 20 минут.
Общий трафик достигает до 30 тыс. человек в день.

Характеристики помещения:
 Срок сдачи 2024 год
 2 отдельных входа
 Высота потолков 3,65 м
 Панорамные окна 3,5 м
 Мощность 15,634 кВт

kzent окружен всеми необходимыми объектами социальной и коммерческой инфраструктуры: в пешей доступности расположены мульти- форматный Охта-Молл, стильный DAA Design District, три школы, несколько развивающих центров и детских садов, спортивные клубы, супермаркеты, театры БУФФ и АХЕ, много-профильные медицинские и бизнес-центры.

Клубный дом на второй линии Невы пробуждает чувства, чтобы вдохновить вас на большее.
Оцените лично удобство расположения AKZENT!","[['Новочеркасская', '14 мин.'], ['Площадь Александра Невского', '14 мин.'], ['Ладожская', '14 мин.']]",[]
19,https://spb.cian.ru/sale/commercial/300066806/,https://spb.cian.ru/company/12822647,"Свободное назначение, 72 м²",72 м²,18 400 000 ₽,255 556 ₽,1 из 20,Свободно,Санкт-Петербург,р-н Приморский,Коломяги,Глухарская ул.,26,"Пpoдaется коммеpческое пoмещeние нa 1 этaже в новoм дoме комфopт-клaccа Примоpскoгo pайона на Комендантском проспекте!

Преимущeствa:

+ Удoбнaя рaциoнальная плaнирoвкa

+ Tоргoвaя зона, собственный c/у

+ B помещение прeдусмoтpены выcокие потолки

+ Большая выделенная электромощность

+ Назначение помещения универсальное, возможные варианты использования: представительский офис, ресторан/кафе, салон красоты, банк, медицинское учреждение, детский сад и др.

+ WI-FI, работающий на всей территории комплекса

+ Уличная парковка для гостей

+ Хорошая транспортная доступность.

+ Новый микрорайон, нуждающийся в объектах инфраструктуры в шаговой доступности

+ Строительство новых станций метро гарантирует дополнительный поток клиентов из других районов КАД рядом  можно без пробок добраться до дома. Комендантский пр. очень оживленный (пешеходы+машины) Крытая галерея вдоль магазинов  все покупатели в непогоду будут прятаться под козырек

Звоните! Подберем Вам самый подходящий вариант! У нас более 300 жилых комплексов по всему Петербургу и Ленинградской области.","[['Комендантский проспект', '7 мин.'], ['Пионерская', '7 мин.'], ['Старая Деревня', '7 мин.']]",[]
